first_name,last_name,email,password,phone,picture,admin,company_id
Garan,Guillory,garanguillory@gmail.com,$2a$10$WmWqkIscE65F2l1iT9MikuL/eiuIIy4jHmQcWVdgkpvLDE4IM8sdu,318-867-5309,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,true,1
George,Washington,georgewashington@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3301,https://upload.wikimedia.org/wikipedia/commons/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,false,1
John,Adams,johnadams@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3302,https://upload.wikimedia.org/wikipedia/commons/d/df/Official_Presidential_portrait_of_John_Adams_%28by_John_Trumbull%2C_circa_1792%29.jpg,false,1
Thomas,Jefferson,thomasjefferson@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3303,https://upload.wikimedia.org/wikipedia/commons/0/07/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg,false,1
James,Madison,jamesmadison@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3304,https://upload.wikimedia.org/wikipedia/commons/1/1d/James_Madison.jpg,false,1
James,Monroe,jamesmonroe@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3305,https://upload.wikimedia.org/wikipedia/commons/9/9b/James_Monroe_by_John_Vanderlyn%2C_1816_-_DSC03228.JPG,false,1
John,QuincyAdams,johnqadams@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3306,https://upload.wikimedia.org/wikipedia/commons/f/fd/George_P.A._Healy_-_John_Quincy_Adams_-_Google_Art_Project.jpg,false,1
Andrew,Jackson,andrewjackson@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3307,https://upload.wikimedia.org/wikipedia/commons/6/64/Andrew_Jackson.jpg,false,1
Martin,VanBuren,martinvanburen@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3308,https://upload.wikimedia.org/wikipedia/commons/1/1f/Martin_Van_Buren_by_Mathew_Brady_c1855-58.jpg,false,1
William,HenryHarrison,williamhenryharrison@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3309,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
John,Tyler,johntyler@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3310,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
James,KPolk,jameskpolk@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3311,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Zachary,Taylor,zacharytaylor@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3312,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Millard,Fillmore,millardfillmore@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3313,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Franklin,Pierce,franklinpierce@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3314,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
James,Buchanan,jamesbuchanan@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3315,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Abraham,Lincoln,abrahamlincoln@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3316,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Andrew,Johnson,andrewjohnson@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3317,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Ulysses,SGrant,ulyssessgrant@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3318,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Rutherford,BHayes,rutherfordbhayes@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3319,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
James,AGarfield,jamesagarfield@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3320,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Chester,AArthur,chesteraarthur@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3321,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Grover,Cleveland,grovercleveland@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3322,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Benjamin,Harrison,benjaminharrison@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3323,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
William,McKinley,williammckinley@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3324,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Theodore,Roosevelt,theodoreroosevelt@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3325,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
William,HowardTaft,williamhowardtaft@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3326,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Woodrow,Wilson,woodrwowilson@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3327,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Warren,GHarding,warrengharding@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3328,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Calvin,Coolidge,calvincoolidge@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3329,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Herbert,Hoover,herberthoover@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3330,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Franklin,DRoosevelt,franklindroosevelt@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3331,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Harry,STruman,harrystruman@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3332,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Dwight,DEisenhower,dwightdeisenhower@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3333,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
John,FKennedy,johnfkennedy@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3334,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Lyndon,BJohnson,lyndonbjohnson@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3335,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Richard,Nixon,richardnixon@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3336,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Gerald,Ford,geraldford@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3337,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
Jimmy,Carter,jimmycarter@gmail.com,$2a$10$DbXgxujO97bbB41Wny61q.JWQgUoSj9YBQITBK17oJ7yL5hj8zNVy,303-333-3338,http://ww4.msu.ac.zw/mainsite/wp-content/uploads/2015/05/default.gif,false,1
